name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address,Timestamp,id
BNB,BNB,bnb,False,134783440.37,134783440.37,134783440.37,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T09:04:00.000Z,,,,,78917857786.53,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.5159771103035,871349340.8344957,848323321.7604836,23026019.07401174,-16.1922,-0.18816786,2.11935278,-3.02154624,-10.51451208,-7.81263313,-7.18063497,78917857786.52887,3.616,78917857786.53,,2026-06-20T09:04:00.000Z,,,,,,2026-06-20 14:35:26.249666,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.0,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:38:00.000Z,,,,,79170268461.42,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",587.388678455296,878374523.9894522,855726706.7989614,22647817.19049101,-15.5396,0.22307558,2.40930486,-2.55875934,-9.77610212,-7.2575545,-7.29432694,79170268461.42471,3.6153,79170268461.42,,2026-06-20T07:38:00.000Z,,,,,,2026-06-20 13:09:57.334835,1839.0
BNB,BNB,bnb,False,134783440.37,134783440.37,134783441.38,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:54:00.000Z,,,,,78902791184.16,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.4041933309015,869734569.6254958,846742209.2300081,22992360.39548749,-16.3389,-0.26741433,2.00457758,-3.07908898,-10.47917465,-7.92486354,-7.1557131,78902791184.16351,3.6146,78902791775.42,,2026-06-20T08:54:00.000Z,,,,,,2026-06-20 14:26:53.035052,1839.0
BNB,BNB,bnb,False,134783441.38,134783441.38,134783441.38,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:36:00.000Z,,,,,78932744716.39,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.6264234554741,868546225.3905975,845636703.4274471,22909521.96315012,-16.4041,-0.37776727,2.01296215,-3.01097855,-10.46450378,-7.73438791,-7.06344608,78932744716.38995,3.6178,78932744716.39,,2026-06-20T08:36:00.000Z,,,,,,2026-06-20 14:07:36.026242,1839.0
BNB,BNB,bnb,False,134783440.37,134783440.37,134783441.38,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:48:00.000Z,,,,,78928486272.36,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.5948331314966,868980962.8408486,845986662.009632,22994300.83121653,-16.3427,-0.27107035,2.07541776,-2.98778995,-10.47784389,-7.98319667,-7.10350121,78928486272.35918,3.6149,78928486863.81,,2026-06-20T08:48:00.000Z,,,,,,2026-06-20 14:19:21.743123,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.95,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:26:00.000Z,,,,,79183309584.53,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",587.4854345761893,876918273.5644467,854349037.6206545,22569235.94379216,-15.8324,0.20720185,2.32039148,-2.42601346,-9.72121967,-7.19502788,-7.34309985,79183309584.53004,3.6187,79183310142.64,,2026-06-20T07:26:00.000Z,,,,,,2026-06-20 12:57:05.296140,1839.0
BNB,BNB,bnb,False,134783442.16,134783442.16,134783442.16,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:05:00.000Z,,,,,79084972845.29,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.7558475870418,870642147.3293517,847774608.7721804,22867538.55717078,-16.2358,0.08642772,2.25718094,-2.6415469,-10.17203562,-7.32948191,-7.09182786,79084972845.28983,3.6182,79084972845.29,,2026-06-20T08:05:00.000Z,,,,,,2026-06-20 13:37:41.323893,1839.0
BNB,BNB,bnb,False,134783443.95,134783443.95,134783443.95,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:01:00.000Z,,,,,79092232889.69,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.809704306354,875655931.7067375,853231431.1770002,22424500.52973766,-16.3969,0.7910161,2.26000289,-2.54560623,-9.82563693,-7.23584077,-7.36963608,79092232889.69154,3.6114,79092232889.69,,2026-06-20T07:01:00.000Z,,,,,,2026-06-20 12:32:29.376074,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.95,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:16:00.000Z,,,,,78972957235.79,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.9247655202522,874553304.5907383,852047147.7027216,22506156.88801705,-16.3506,0.41901399,2.1415112,-2.66450422,-9.98744196,-7.35422455,-7.5233936,78972957235.78728,3.6134,78972957792.42,,2026-06-20T07:16:00.000Z,,,,,,2026-06-20 12:48:32.671624,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.95,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:23:00.000Z,,,,,79067824828.21,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.6286174942716,874683585.9036837,852214461.8283834,22469124.07530003,-16.1865,0.36190414,2.23458464,-2.55596601,-9.85289026,-7.30386427,-7.45577663,79067824828.20796,3.6167,79067825385.51,,2026-06-20T07:23:00.000Z,,,,,,2026-06-20 12:53:52.244686,1839.0
